category,group,year,name
same_year,1,2502,พันเอก พงษ์ เภกะนันทน์
same_year,1,2502,นายพันตำรวจเอก พจน์ เภกะนันทน์
same_year,2,2502,พลโท บัญญัติ เทพหัสดิน ณ อยุธยา
same_year,2,2502,พันเอก ยศ เทพหัสดิน ณ อยุธยา
same_year,3,2502,นายสงวน จันทรสาขา
same_year,3,2502,นายสุรจิตต์ จันทรสาขา
same_year,4,2539,ศาสตราจารย์คณิต ณ นคร
same_year,4,2539,นายวรพจน์ ณ นคร
same_year,5,2539,นายประเทือง คำประกอบ
same_year,5,2539,นายสวัสดิ์ คำประกอบ
different_year,6,2491,หม่อมราชวงศ์เสนีย์ ปราโมช
different_year,6,2502,หม่อมราชวงศ์คึกฤทธิ์ ปราโมช
different_year,7,2491,นายทองม้วน อัตถากร 
different_year,7,2502,นายบุญชนะ อัตถากร
different_year,8,2502,ว่าที่นาวาอากาศตรี สุพจน์ เทพกาญจนา
different_year,8,2539,นายพงศ์เทพ เทพกาญจนา
different_year,9,2502,พลโท สนิท สนิทยุทธการ ไทยานนท์
different_year,9,2539,ร้อยตรี อำนวย ไทยานนท์